drug,smiles,pubchem_cid,targets,moa_broad,moa_fine,canonical_smiles,in_existing_registry,in_drugseq,new_to_both
Entrectinib,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,25141092.0,"NTRK1, NTRK2, NTRK3, ROS1, ALK",inhibitor/antagonist,Other TK inhibitor,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,False,False,True
Phenylephrine (hydrochloride),CNCC(C1=CC(=CC=C1)O)O.Cl,5284443.0,"ADRA1A, ADRA1B, ADRA1D",activator/agonist,Adrenoceptor agonist,CNCC(O)c1cccc(O)c1.Cl,False,False,True
Rucaparib (phosphate),CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2.OP(=O)(O)O,9931953.0,"PARP1, PARP2, PARP3",inhibitor/antagonist,DNA synthesis/repair inhibitor,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1.O=P(O)(O)O,False,False,True
Dimethyl fumarate,COC(=O)C=CC(=O)OC,637568.0,NFE2L2,activator/agonist,unclear,COC(=O)C=CC(=O)OC,False,False,True
Methyl aminolevulinate (hydrochloride),COC(=O)CCC(=O)CN.Cl,157921.0,,unclear,unclear,COC(=O)CCC(=O)CN.Cl,False,False,True
Tranilast,COC1=C(C=C(C=C1)C=CC(=O)NC2=CC=CC=C2C(=O)O)OC,5282230.0,"PLA2G2A, EGR1",inhibitor/antagonist,unclear,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC,False,False,True
Simotinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCN4CC5(CC5)C6(C4)OCCO6,16735117.0,EGFR,inhibitor/antagonist,EGFR/ERBB inhibitor,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC2(CC2)C2(C1)OCCO2,False,False,True
Bergenin,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O,66065.0,,unclear,unclear,COc1c(O)cc2c(c1O)C1OC(CO)C(O)C(O)C1OC2=O,False,False,True
Ferulic acid,COC1=C(C=CC(=C1)C=CC(=O)O)O,445858.0,"FGFR1, FGFR2",inhibitor/antagonist,Other TK inhibitor,COc1cc(C=CC(=O)O)ccc1O,False,False,True
Palmatine (chloride),COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-],73442.0,"IDO1, WNV NS2B-NS3",inhibitor/antagonist,unclear,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-],False,False,True
Berberine (chloride hydrate),COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.O.[Cl-],155074.0,,unclear,unclear,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.O.[Cl-],False,False,True
Futibatinib,COC1=CC(=CC(=C1)C#CC2=NN(C3=NC=NC(=C23)N)C4CCN(C4)C(=O)C=C)OC,71621331.0,"FGFR1, FGFR2, FGFR3, FGFR4",inhibitor/antagonist,Other TK inhibitor,C=CC(=O)N1CCC(n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,False,False,True
Tubulin inhibitor 6,COC1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,2359994.0,,inhibitor/antagonist,Microtubule inhibitor,COc1ccc(C(=O)N2c3ccccc3Sc3ccc(Cl)cc32)cc1,False,False,True
Cabozantinib (S-malate),COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F.C(C(C(=O)O)O)C(=O)O,25102846.0,"MET, KDR, AXL",inhibitor/antagonist,Multi-TK inhibitor,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC.O=C(O)CC(O)C(=O)O,False,False,True
Fluvoxamine,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,5324346.0,SLC6A4,unclear,unclear,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,False,False,True
Fluvoxamine (maleate),COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F.C(=CC(=O)O)C(=O)O,9560989.0,,inhibitor/antagonist,unclear,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1.O=C(O)C=CC(=O)O,False,False,True
Belzutifan,CS(=O)(=O)C1=C2C(C(C(C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O,117947097.0,EPAS1,inhibitor/antagonist,unclear,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1C(O)C(F)C2F,False,False,True
Nafamostat (mesylate),CS(=O)(=O)O.CS(=O)(=O)O.C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N,5311180.0,,inhibitor/antagonist,unclear,CS(=O)(=O)O.CS(=O)(=O)O.N=C(N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,False,False,True
Pitavastatin (Calcium), C1C(C1)C2=NC3=CC=CC=C3C(=C2/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])C4=CC=C(C=C4)F.C1C(C1)C2=NC3=CC=CC=C3C(=C2/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])C4=CC=C(C=C4)F.[Ca+2],5282451.0,HMGCR,inhibitor/antagonist,unclear,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2],False,False,True
Canagliflozin (hemihydrate),CC1=C(C=C(C=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F.CC1=C(C=C(C=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F.O,24997615.0,SLC5A2,inhibitor/antagonist,Glucose transporter inhibitor,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.O,False,False,True
Osimertinib (mesylate),CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC.CS(=O)(=O)O  ,78357807.0,EGFR,inhibitor/antagonist,EGFR/ERBB inhibitor,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C.CS(=O)(=O)O,False,False,True
γ-Oryzanol,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)OC(=O)/C=C/C6=CC(=C(C=C6)O)OC)C)C,5282164.0,,inhibitor/antagonist,DNA methyltransferase inhibitor,COc1cc(/C=C/C(=O)O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]3(C)[C@@H]5CC[C@H]4C2(C)C)ccc1O,False,False,True
